mean_intensity,std_intensity,max_intensity,min_intensity,signal_range,concentration,log_concentration,serotype,sensor_model,sensor_unit,test_id,n_peaks,max_peak_height,low_freq_mean,low_freq_std,mid_freq_mean,mid_freq_std,high_freq_mean,high_freq_std
51.39502164502164,107.0250939902145,744.75,0.0,744.75,1.0,0.0,ST,07-7-12,S1,1,12,744.75,139.11309523809524,214.40725463570377,39.40972222222222,48.435888065571966,30.73051948051948,39.60475928687989
50.31878787878787,105.2079597926201,805.38,0.0,805.38,1.0,0.0,ST,07-7-12,S1,2,13,805.38,130.69666666666666,217.0296750794217,37.285,39.84659984797253,33.09376623376624,35.21636621589239
63.60606060606061,125.10105268614838,822.0,0.0,822.0,1.0,0.0,ST,07-7-12,S1,8,16,822.0,153.14285714285714,232.03895110505042,50.583333333333336,98.68450711456407,37.701298701298704,44.80725385820219
87.4891774891775,116.14959422163994,781.75,0.0,781.75,1.0,0.0,ST,07-7-12,S1,11,16,781.75,146.2797619047619,211.74889808549062,83.15972222222223,88.10103402994237,75.11688311688312,70.8002217741728
110.21186147186144,169.1128014935666,827.62,0.0,827.62,1.0,0.0,ST,07-7-12,S1,12,14,827.62,240.35904761904766,262.54401060366024,161.8586111111111,153.49910283220945,22.049090909090907,54.73423844007617
54.497835497835496,119.47826241672637,883.0,0.0,883.0,12.0,1.0791812460476249,ST,07-7-12,S1,1,13,883.0,147.71428571428572,239.10938776996585,45.93055555555556,61.50933226142936,26.883116883116884,39.538235325096416
55.688311688311686,127.2329740681369,893.5,0.0,893.5,12.0,1.0791812460476249,ST,07-7-12,S1,2,12,893.5,155.07142857142858,251.99004542480895,45.583333333333336,71.96478691384806,26.474025974025974,41.28235811558905
61.452294372294354,149.57869957805866,1097.12,0.0,1097.12,85.0,1.9294189257142926,ST,07-7-12,S1,1,13,1097.12,185.21428571428572,299.666905215829,39.43611111111112,74.60543565532599,31.902337662337658,46.702613066750416
56.997748917748915,135.2742927176383,1020.12,0.0,1020.12,85.0,1.9294189257142926,ST,07-7-12,S1,2,13,1020.12,165.88380952380953,270.2983945211766,40.33888888888889,64.73955719212249,28.0238961038961,48.75235283448683
62.78337662337661,151.46561959512246,1096.12,0.0,1096.12,885.0,2.9469432706978256,ST,07-7-12,S1,1,14,1096.12,181.91714285714284,301.38394489331347,43.51777777777778,83.44958315291373,32.21194805194805,51.34343992641924
82.54978354978356,178.66827199506372,1212.0,0.0,1212.0,885.0,2.9469432706978256,ST,07-7-12,S1,2,10,1212.0,212.0952380952381,342.3949828239873,83.16666666666667,125.2003949230548,33.84415584415584,58.73185045657625
56.69523809523809,126.79721166656294,885.12,0.0,885.12,18.0,1.255272505103306,ST,07-7-12,S1,8,13,885.12,149.82761904761907,252.72941879192157,45.1738888888889,70.12151806676503,31.311168831168825,43.65297323962949
57.38203463203463,127.09058871535734,924.25,0.0,924.25,90.0,1.954242509439325,ST,07-7-12,S1,8,13,924.25,147.26785714285714,260.6715479892703,39.15625,46.337275714695636,33.70454545454545,46.825919799328325
84.0753246753247,160.90318835611365,1033.88,0.0,1033.88,1018.0,3.00774777800074,ST,07-7-12,S1,8,9,1033.88,128.76095238095238,262.0934840836242,144.2766666666667,169.6955025594046,34.0212987012987,54.2046349039141
113.46645021645021,202.20865073158734,1036.25,0.0,1036.25,13.0,1.1139433523068367,ST,07-7-12,S1,11,9,1036.25,327.6190476190476,306.20381691665943,141.99652777777777,174.87514143556922,8.334415584415584,43.143949072165086
119.71645021645021,198.30817497485555,989.25,0.0,989.25,13.0,1.1139433523068367,ST,07-7-12,S1,12,10,989.25,268.9702380952381,325.5358641019603,149.04861111111111,178.77970634512397,48.561688311688314,86.9847553056923
143.85731601731607,196.19470905945985,981.88,0.0,981.88,130.0,2.113943352306837,ST,07-7-12,S1,11,12,981.88,282.16476190476186,303.8894014607641,224.53611111111115,166.15139156266454,34.22233766233767,69.99937468915702
